id,area,dpto,sexo,parent,edad,edu,ingreso,horas_semana,cotiza,lugar,meses,rama_4,rama_2,posic,fondo,cambiar,estable,t_actual,t_viaje,mas_h,medio,sintrab,n_comp,arl,caja,factor_exp,actividad,cotiza_fondo
7629058-1-1,Bucaramanga,Santander,M,Jefe,30,Universitaria,1400000,48,2,Local fijo u oficina,12,4530,45,Obrero,NA,Si,No,6,30,No,Moto,No tendria recursos,4 - 5,No,No,445.78635397,"Comercio, mantenimiento y reparación de vehículos automotores y motocicletas, sus partes, piezas y accesorios",No cotiza
7632900-1-1,Cali,Valle,F,Jefe,55,Secundaria,600000,30,2,En esta vivienda,12,9529,95,Autonomo,NA,No,Si,41,NA,Si,No se desplaza,Ayuda familiar,Solo,No,No,285.18791132,Reparación de calzado y artículos de cuero,No cotiza
7637714-1-1,Manizales,Caldas,F,Jefe,25,Secundaria,1160000,60,1,Local fijo u oficina,12,1410,14,Obrero,2,No,Si,15,10,No,Moto,No tendria recursos,101 - 200,Si,Si,165.74082821,Confección de prendas de vestir,Colpensiones
7634977-1-4,Cartagena,Bolivar,M,Otro no-pariente,53,Primaria,500000,48,2,En la calle,12,4721,47,Autonomo,NA,No,Si,420,10,No,A pie,No lo ha considerado,Solo,No,No,161.38293912,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",No cotiza
7629190-1-1,Cali,Valle,M,Jefe,38,Secundaria,2200000,60,1,Local fijo u oficina,12,1701,17,Obrero,2,No,No,36,10,No,Moto,No tendria recursos,201 o mas,Si,No,280.78025043,"Fabricación de papel, cartón y productos de papel y cartón",Colpensiones
7631793-1-2,Villavicencio,Meta,F,Hijo,22,Universitaria,1160000,48,1,Local fijo u oficina,12,9411,94,Obrero,1,No,Si,13,15,No,Moto,Ayuda familiar,51 - 100,Si,Si,155.02991521,Actividades de asociaciones,Fondo privado
7654704-1-5,Pereira,Risaralda,F,Suegro,50,Secundaria,800000,48,2,Otra vivienda,12,8121,81,Autonomo,NA,No,No,52,60,No,SITP,No lo ha considerado,Solo,No,No,220.33632743,"Actividades de servicios a edificios y paisajismo (jardines, zonas verdes)",No cotiza
7631878-1-1,Pasto,Narino,M,Jefe,36,Primaria,1160000,47,1,Local fijo u oficina,12,4620,46,Obrero,2,No,Si,108,15,No,Moto,No tendria recursos,6 - 10,Si,Si,110.52604673,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",Colpensiones
7639817-1-1,Cali,Valle,M,Jefe,58,Primaria,1600000,40,1,Obra en construccion,12,4322,43,Autonomo,2,No,Si,120,40,No,Moto,Ayuda familiar,20 - 30,Si,Si,815.530615,Actividades especializadas para la construcción de edificios y obras de ingeniería civil,Colpensiones
7639046-1-4,Cucuta,Nte Santander,M,Hermano,54,Secundaria,1160000,44,1,Local fijo u oficina,12,8544,85,Obrero,2,No,Si,240,30,No,Bus urbano,Otros,201 o mas,Si,Si,379.90068523,Educación,Colpensiones
7637452-1-2,Bogota,Bogota,F,Pareja,51,Técnico o tecnológico,1300000,47,1,Local fijo u oficina,12,8691,86,Obrero,1,No,Si,12,120,No,SITP,Ayuda familiar,201 o mas,Si,Si,3054.3315275,Actividades de atención de la salud humana,Fondo privado
7647493-1-2,Medellin,Antioquia,F,Pareja,44,Universitaria,2000000,45,1,Local fijo u oficina,12,1410,14,Obrero,2,No,Si,108,25,No,Bus urbano,Ayuda familiar,20 - 30,Si,Si,1103.6320695,Confección de prendas de vestir,Colpensiones
7651664-1-3,Medellin,Antioquia,M,Hijo,48,Técnico o tecnológico,800000,60,2,Vehículo,12,4921,49,Autonomo,NA,No,Si,12,5,No,A pie,No tendria recursos,Solo,No,No,1117.0441606,Transporte terrestre; transporte por tuberías,No cotiza
7653299-1-2,Monteria,Cordoba,F,Hijo,45,Especialización,3480000,48,1,Local fijo u oficina,12,8551,85,Funcionario,1,No,Si,144,20,No,Moto,Cesantias,201 o mas,Si,No,173.73825904,Educación,Fondo privado
7651881-1-2,Barranquilla,Atlantico,F,Pareja,36,Técnico o tecnológico,1300000,24,2,En esta vivienda,12,8129,81,Empleador,NA,No,Si,36,NA,No,No se desplaza,Ayuda familiar,2 - 3,No,No,1475.1230735,"Actividades de servicios a edificios y paisajismo (jardines, zonas verdes)",No cotiza
7639564-1-1,Ibague,Tolima,M,Jefe,29,Primaria,1000000,60,2,Local fijo u oficina,12,9311,93,Obrero,NA,Si,Si,24,35,No,Bus urbano,Ahorro,4 - 5,No,No,685.38768042,Actividades deportivas y actividades recreativas y de esparcimiento,No cotiza
7647936-1-3,Manizales,Caldas,F,Hijo,27,Maestría,1160000,25,1,Local fijo u oficina,10,8544,85,Funcionario,2,No,No,8,30,No,Bus urbano,Ayuda familiar,201 o mas,Si,Si,176.61269952,Educación,Colpensiones
7631980-1-2,Cucuta,Nte Santander,M,Pareja,43,Primaria,600000,6,2,Otra vivienda,12,9007,90,Autonomo,NA,No,Si,24,30,Si,Auto particular,Ahorro,Solo,No,No,399.38592496,"Actividades creativas, artísticas y de entretenimiento",No cotiza
7644134-1-1,Pasto,Narino,M,Jefe,44,Universitaria,5300000,55,1,Local fijo u oficina,12,6499,64,Obrero,2,No,Si,156,60,No,Auto particular,Cesantias,201 o mas,Si,Si,139.28097161,"Actividades de servicios financieros, excepto las de seguros y de pensiones",Colpensiones
7637460-1-2,Bogota,Bogota,F,Hijo,35,Universitaria,2160000,48,1,Local fijo u oficina,12,4755,47,Obrero,2,No,Si,168,10,No,Auto particular,No tendria recursos,2 - 3,Si,Si,3805.9670333,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",Colpensiones
7641175-1-2,Bogota,Bogota,F,Pareja,47,Universitaria,2100000,40,1,Local fijo u oficina,12,8414,84,Funcionario,2,No,Si,60,20,No,Bicicleta,No lo ha considerado,201 o mas,Si,Si,3041.7212874,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Colpensiones
7635765-1-3,Pasto,Narino,F,Hijo,22,Secundaria,1160000,98,1,Local fijo u oficina,12,4771,47,Obrero,2,Si,Si,36,5,No,Mototaxi,No lo ha considerado,31 - 50,Si,No,157.87951527,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",Colpensiones
7654717-1-4,Pereira,Risaralda,M,Otro pariente,33,Secundaria,1300000,45,1,Local fijo u oficina,12,4631,46,Obrero,1,No,Si,24,30,No,Bus urbano,Cesantias,31 - 50,Si,No,2389.8892982,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",Fondo privado
7642895-1-2,Cartagena,Bolivar,M,Hijo,24,Primaria,900000,40,2,Vehículo,1,5619,56,Autonomo,NA,Si,No,1,20,No,Mototaxi,No tendria recursos,6 - 10,No,No,267.52004814,Actividades de servicios de comidas y bebidas,No cotiza
7642453-1-2,Barranquilla,Atlantico,F,Empleado doméstico,57,Secundaria,1900000,50,2,En esta vivienda,12,9700,97,Empleado domestico,NA,No,Si,7,NA,No,No se desplaza,Ayuda familiar,Solo,No,No,1143.15975,Actividades de los hogares individuales como empleadores de personal doméstico,No cotiza
7630274-1-1,Bogota,Bogota,M,Jefe,47,Secundaria,1160000,105,1,Vehículo,12,4923,49,Obrero,1,No,Si,24,120,No,SITP,No lo ha considerado,11 - 19,Si,Si,4920.3655514,Transporte terrestre; transporte por tuberías,Fondo privado
7631970-1-2,Cucuta,Nte Santander,M,Hijo,45,Secundaria,10000000,40,2,Vehículo,12,4921,49,Autonomo,NA,No,Si,240,5,No,A pie,Otros,Solo,No,No,500.33963073,Transporte terrestre; transporte por tuberías,No cotiza
7642603-1-3,Bogota,Bogota,F,Hijo,25,Secundaria,1400000,48,1,Local fijo u oficina,12,7020,70,Obrero,1,No,Si,11,60,No,SITP,No lo ha considerado,101 - 200,Si,Si,5695.9208719,Actividades de administración empresarial; actividades de consultoría de gestión,Fondo privado
7644055-1-1,Pasto,Narino,F,Jefe,73,Primaria,1000000,48,2,En la calle,12,4721,47,Autonomo,NA,No,Si,420,10,No,A pie,Ayuda familiar,Solo,No,No,163.6887053,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",No cotiza
7654805-1-1,Bucaramanga,Santander,M,Jefe,54,Secundaria,8500000,48,1,Local fijo u oficina,12,4751,47,Empleador,1,No,Si,180,15,No,Moto,No lo ha considerado,2 - 3,Si,Si,553.78332091,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",Fondo privado
7630368-1-2,Cartagena,Bolivar,M,Pareja,28,Técnico o tecnológico,1800000,48,1,Local fijo u oficina,10,910,9,Obrero,1,No,Si,10,15,No,Moto,Cesantias,201 o mas,Si,Si,557.85958463,Actividades de servicios de apoyo para la explotación de minas,Fondo privado
7637713-1-1,Manizales,Caldas,M,Jefe,55,Secundaria,1160000,48,1,Local fijo u oficina,12,3110,31,Obrero,1,No,Si,220,30,No,A pie,Ahorro,4 - 5,Si,No,304.14257021,"Fabricación de muebles, colchones y somieres",Fondo privado
7632895-1-3,Cali,Valle,M,Yerno o nuera,30,Secundaria,1000000,40,1,Vehículo,12,4923,49,Obrero,1,Si,No,6,30,No,Moto,No tendria recursos,4 - 5,Si,No,321.14874413,Transporte terrestre; transporte por tuberías,Fondo privado
7634297-1-1,Bucaramanga,Santander,F,Jefe,36,Secundaria,1200000,60,2,En la calle,12,3210,32,Autonomo,NA,No,Si,84,20,No,A pie,No tendria recursos,Solo,No,No,257.44056346,Otras industrias manufactureras,No cotiza
7654825-1-2,Bucaramanga,Santander,M,Pareja,37,Técnico o tecnológico,1160000,47,1,Local fijo u oficina,10,6412,64,Obrero,1,Si,Si,6,45,No,Bus urbano,Cesantias,201 o mas,Si,Si,508.29201763,"Actividades de servicios financieros, excepto las de seguros y de pensiones",Fondo privado
7627600-1-2,Barranquilla,Atlantico,F,Pareja,61,Primaria,1160000,46,1,Local fijo u oficina,12,8891,88,Obrero,2,No,Si,116,50,No,Bus urbano,No tendria recursos,201 o mas,Si,Si,402.41448426,Actividades de asistencia social sin alojamiento,Colpensiones
7648817-1-1,Villavicencio,Meta,M,Jefe,62,Primaria,1100000,56,2,Area rural,12,121,1,Trabajador no remunerado en empresa,NA,No,Si,60,20,No,Moto,Ayuda familiar,2 - 3,No,No,195.58800968,"Agricultura, ganadería, caza y actividades de servicios conexas",No cotiza
7644577-1-1,Pereira,Risaralda,M,Jefe,38,Secundaria,2500000,40,2,En esta vivienda,12,1313,13,Autonomo,NA,No,Si,48,5,No,A pie,Ahorro,Solo,No,No,889.88528748,Fabricación de productos textiles,No cotiza
7628671-1-3,Pasto,Narino,F,Hijo,24,Universitaria,1160000,40,1,Local fijo u oficina,12,8530,85,Obrero,2,Si,Si,12,5,Si,Moto,Ayuda familiar,11 - 19,Si,Si,167.92325482,Educación,Colpensiones
7632345-1-3,Pereira,Risaralda,F,Hijo,23,Secundaria,1300000,48,2,Local fijo u oficina,12,5611,56,Obrero,NA,No,Si,11,25,No,Bus urbano,Ayuda familiar,6 - 10,No,No,294.94726697,Actividades de servicios de comidas y bebidas,No cotiza
7628809-1-1,Pereira,Risaralda,F,Jefe,65,Primaria,500000,48,2,En esta vivienda,12,4711,47,Autonomo,NA,No,Si,72,NA,No,No se desplaza,Ayuda familiar,Solo,No,No,263.85808307,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",No cotiza
7637304-1-3,Barranquilla,Atlantico,M,Hijo,33,Universitaria,800000,24,2,En esta vivienda,11,8559,85,Autonomo,NA,Si,Si,24,NA,No,No se desplaza,Ayuda familiar,Solo,No,No,798.5246876,Educación,No cotiza
7630093-1-2,Barranquilla,Atlantico,M,Pareja,26,Secundaria,900000,40,2,Otra vivienda,12,4330,43,Obrero,NA,Si,No,15,60,No,Bus urbano,No tendria recursos,2 - 3,No,No,870.85753469,Actividades especializadas para la construcción de edificios y obras de ingeniería civil,No cotiza
7652144-1-3,Bogota,Bogota,F,Hijo,18,Secundaria,1200000,42,1,Local fijo u oficina,6,4659,46,Obrero,2,No,Si,6,90,No,SITP,No tendria recursos,201 o mas,Si,Si,3630.3892405,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",Colpensiones
7642422-1-1,Barranquilla,Atlantico,M,Jefe,63,Secundaria,2000000,50,2,Local fijo u oficina,12,5611,56,Obrero,NA,No,Si,120,5,No,A pie,Ayuda familiar,6 - 10,No,No,491.43522681,Actividades de servicios de comidas y bebidas,No cotiza
7637279-1-1,Barranquilla,Atlantico,M,Jefe,51,Secundaria,1200000,48,2,En esta vivienda,12,4711,47,Obrero,NA,No,Si,12,NA,No,No se desplaza,Ayuda familiar,4 - 5,No,No,2346.0704365,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",No cotiza
7632007-1-4,Cucuta,Nte Santander,M,Hijo,24,Universitaria,NA,60,2,Local fijo u oficina,12,4762,47,Trabajador familiar no remunerado,NA,No,Si,48,30,No,Auto particular,Ayuda familiar,4 - 5,No,No,296.23024493,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",No cotiza
7637468-1-1,Cartagena,Bolivar,M,Jefe,32,Técnico o tecnológico,1160000,48,1,Local fijo u oficina,12,5210,52,Obrero,1,No,Si,36,30,No,Mototaxi,Cesantias,20 - 30,Si,Si,547.92140594,Almacenamiento y actividades complementarias al transporte,Fondo privado
7654408-1-2,Cucuta,Nte Santander,M,Pareja,51,Secundaria,1000000,72,3,Otra vivienda,12,8010,80,Autonomo,NA,No,No,12,30,No,Moto,Ahorro,Solo,No,No,532.5969906,Actividades de seguridad e investigación privada,Pensionado
7632920-1-1,Cali,Valle,M,Jefe,55,Primaria,1160000,50,1,Obra en construccion,12,4111,41,Obrero,2,No,Si,4,60,No,Bicicleta,No tendria recursos,201 o mas,Si,No,1895.8930695,Construcción de edificios,Colpensiones
7639759-1-3,Cali,Valle,F,Hermano,34,Universitaria,1120000,60,2,Local fijo u oficina,12,4771,47,Obrero,NA,Si,No,36,20,No,Bus urbano,No tendria recursos,2 - 3,No,No,290.60884475,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",No cotiza
7635831-1-2,Cucuta,Nte Santander,F,Pareja,31,Universitaria,1160000,48,1,Local fijo u oficina,10,4771,47,Obrero,1,No,Si,10,30,No,Moto,Ahorro,6 - 10,Si,Si,589.38749884,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",Fondo privado
7655169-1-1,Ibague,Tolima,M,Jefe,38,Secundaria,1440000,52,1,Local fijo u oficina,12,6910,69,Obrero,1,No,No,18,10,No,Bus urbano,No tendria recursos,31 - 50,Si,Si,283.79101226,Actividades jurídicas y de contabilidad,Fondo privado
7654420-1-1,Cucuta,Nte Santander,M,Jefe,32,Universitaria,1600000,60,2,Local fijo u oficina,12,4723,47,Obrero,NA,Si,No,36,10,No,Moto,Ayuda familiar,4 - 5,No,No,406.84771845,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",No cotiza
7642528-1-1,Barranquilla,Atlantico,F,Jefe,27,Secundaria,900000,30,2,En esta vivienda,12,4771,47,Autonomo,NA,No,Si,12,NA,Si,No se desplaza,Ayuda familiar,Solo,No,No,529.72460118,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",No cotiza
7637088-1-1,Medellin,Antioquia,F,Jefe,28,Especialización,4300000,66,1,Local fijo u oficina,12,8610,86,Autonomo,2,Si,Si,24,20,No,Auto particular,Ayuda familiar,201 o mas,Si,No,934.58306384,Actividades de atención de la salud humana,Colpensiones
7637178-1-2,Barranquilla,Atlantico,M,Pareja,42,Universitaria,1600000,48,1,Local fijo u oficina,12,4752,47,Obrero,1,No,Si,120,15,No,Auto particular,No lo ha considerado,6 - 10,Si,Si,730.72281817,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",Fondo privado
7628227-1-1,Monteria,Cordoba,M,Jefe,66,Universitaria,5648600,30,1,Local fijo u oficina,12,8530,85,Funcionario,3,No,Si,467,20,No,Moto,Cesantias,201 o mas,Si,No,240.26911804,Educación,Regimen especial
7642802-1-2,Cartagena,Bolivar,M,Hijo,40,Técnico o tecnológico,1500000,40,1,Local fijo u oficina,12,4290,42,Obrero,1,No,Si,36,20,No,Auto particular,Ahorro,51 - 100,Si,Si,353.59749894,Obras de ingeniería civil,Fondo privado
7632065-1-2,Cucuta,Nte Santander,M,Pareja,33,Primaria,600000,40,2,Local fijo u oficina,12,4520,45,Autonomo,NA,No,Si,120,20,No,Moto,Dinero prestado,Solo,No,No,655.73723342,"Comercio, mantenimiento y reparación de vehículos automotores y motocicletas, sus partes, piezas y accesorios",No cotiza
7655483-1-1,Cali,Valle,M,Jefe,52,Primaria,1180000,72,2,Vehículo,12,4921,49,Autonomo,NA,Si,No,12,5,No,A pie,No tendria recursos,Solo,No,Si,906.23223109,Transporte terrestre; transporte por tuberías,No cotiza
7647562-1-2,Medellin,Antioquia,F,Empleado doméstico,58,Primaria,2360000,60,1,En esta vivienda,12,9700,97,Empleado domestico,2,No,Si,360,NA,No,No se desplaza,No tendria recursos,Solo,Si,Si,1086.819445,Actividades de los hogares individuales como empleadores de personal doméstico,Colpensiones
7652159-1-1,Bogota,Bogota,F,Jefe,41,Secundaria,550000,30,2,Local fijo u oficina,7,1081,10,Obrero,NA,Si,No,7,5,Si,A pie,No tendria recursos,4 - 5,No,No,3359.4618854,Elaboración de productos alimenticios,No cotiza
7652548-1-1,Manizales,Caldas,M,Jefe,79,Universitaria,10000000,10,3,Area rural,12,141,1,Empleador,NA,No,Si,360,300,No,Auto particular,Ahorro,4 - 5,No,No,197.87012815,"Agricultura, ganadería, caza y actividades de servicios conexas",Pensionado
7628935-1-1,Bucaramanga,Santander,F,Jefe,57,Primaria,2000000,48,2,En esta vivienda,12,3290,32,Empleador,NA,No,Si,60,NA,No,No se desplaza,No tendria recursos,2 - 3,No,No,444.73144279,Otras industrias manufactureras,No cotiza
7647327-1-3,Medellin,Antioquia,F,Hijo,19,Secundaria,1160000,47,1,Local fijo u oficina,6,4723,47,Obrero,2,No,Si,6,30,No,Bus urbano,No tendria recursos,6 - 10,Si,Si,2627.3757024,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",Colpensiones
7637181-1-2,Barranquilla,Atlantico,F,Pareja,45,Especialización,3000000,48,1,Local fijo u oficina,12,8622,86,Obrero,1,No,Si,106,20,No,Auto particular,Ayuda familiar,6 - 10,Si,Si,730.72281817,Actividades de atención de la salud humana,Fondo privado
7629132-1-1,Ibague,Tolima,M,Jefe,43,Universitaria,3800000,66,1,Local fijo u oficina,12,5511,55,Obrero,1,No,Si,204,20,No,Auto particular,Ahorro,101 - 200,Si,Si,345.92729304,Alojamiento,Fondo privado
7647951-1-1,Manizales,Caldas,M,Jefe,67,Secundaria,900000,35,1,Puerta-puerta,12,4752,47,Autonomo,1,No,No,36,10,No,A pie,Ayuda familiar,Solo,No,No,134.70603839,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",Fondo privado
7630001-1-6,Barranquilla,Atlantico,M,Otro no-pariente,66,Primaria,450000,40,2,Otra vivienda,12,8020,80,Autonomo,NA,No,Si,180,30,No,A pie,Ayuda familiar,Solo,No,No,339.17408581,Actividades de seguridad e investigación privada,No cotiza
7655426-1-1,Cali,Valle,F,Jefe,33,Primaria,1500000,40,2,Local fijo u oficina,12,9602,96,Autonomo,NA,No,Si,34,10,No,Mototaxi,Ayuda familiar,4 - 5,No,No,1134.9017708,Otras actividades de servicios personales,No cotiza
7652415-1-1,Cartagena,Bolivar,F,Jefe,64,Secundaria,900000,40,2,Otra vivienda,12,9700,97,Empleado domestico,NA,No,Si,84,20,No,Bus urbano,No lo ha considerado,Solo,No,No,291.58021953,Actividades de los hogares individuales como empleadores de personal doméstico,No cotiza
7654821-1-1,Bucaramanga,Santander,F,Jefe,58,Primaria,1550000,48,1,Local fijo u oficina,12,1081,10,Obrero,1,No,Si,48,40,No,Bus urbano,Ahorro,11 - 19,Si,Si,309.57233814,Elaboración de productos alimenticios,Fondo privado
7630163-1-2,Barranquilla,Atlantico,F,Pareja,49,Secundaria,1160000,48,1,Local fijo u oficina,12,9602,96,Obrero,2,No,Si,24,40,No,Bus urbano,No tendria recursos,6 - 10,Si,Si,864.54160034,Otras actividades de servicios personales,Colpensiones
7642801-1-5,Cartagena,Bolivar,F,Hermano,22,Universitaria,1200000,70,2,Local fijo u oficina,2,4771,47,Autonomo,NA,Si,No,2,60,No,SITP,Ayuda familiar,51 - 100,No,No,400.79187558,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",No cotiza
7628040-1-2,Manizales,Caldas,M,Hijo,41,Primaria,1200000,70,1,Vehículo,11,4921,49,Obrero,2,No,Si,11,NA,No,No se desplaza,Ayuda familiar,101 - 200,Si,Si,197.6300392,Transporte terrestre; transporte por tuberías,Colpensiones
7637165-1-1,Medellin,Antioquia,F,Jefe,43,Maestría,12000000,48,1,Local fijo u oficina,12,8621,86,Obrero,2,No,Si,48,40,No,Auto particular,Ahorro,201 o mas,Si,Si,1208.6914914,Actividades de atención de la salud humana,Colpensiones
7628572-1-1,Villavicencio,Meta,M,Jefe,60,Técnico o tecnológico,3200000,47,1,Local fijo u oficina,12,8413,84,Funcionario,2,No,Si,336,45,No,Bus urbano,Ahorro,201 o mas,Si,Si,350.98957114,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Colpensiones
7627579-1-1,Medellin,Antioquia,F,Jefe,47,Secundaria,1160000,48,1,Local fijo u oficina,12,5611,56,Obrero,1,Si,Si,18,120,No,Metro,No tendria recursos,6 - 10,Si,No,1405.4327895,Actividades de servicios de comidas y bebidas,Fondo privado
7634367-1-1,Cali,Valle,M,Jefe,31,Técnico o tecnológico,1160000,47,1,Local fijo u oficina,12,8423,84,Obrero,2,No,Si,96,10,No,Moto,No lo ha considerado,201 o mas,Si,No,1019.6925388,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Colpensiones
7629188-1-1,Cali,Valle,M,Jefe,64,Primaria,NA,40,1,Local fijo u oficina,12,8412,84,Funcionario,2,No,Si,300,20,No,Moto,Cesantias,201 o mas,Si,Si,120.77999016,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Colpensiones
7654235-1-6,Pasto,Narino,M,Hermano,44,Universitaria,1200000,15,1,Local fijo u oficina,12,9007,90,Obrero,1,No,Si,36,20,No,Moto,Dinero prestado,11 - 19,Si,No,160.2415632,"Actividades creativas, artísticas y de entretenimiento",Fondo privado
7627491-1-3,Medellin,Antioquia,M,Hijo,33,Técnico o tecnológico,1160000,48,1,Local fijo u oficina,6,1040,10,Obrero,1,No,Si,6,25,No,Bus intermunicipal,No lo ha considerado,201 o mas,Si,Si,2613.3143171,Elaboración de productos alimenticios,Fondo privado
7643984-1-1,Villavicencio,Meta,F,Jefe,39,Secundaria,1100000,58,2,Local fijo u oficina,8,5611,56,Obrero,NA,Si,No,5,40,No,Bus urbano,Ayuda familiar,4 - 5,No,No,287.86699519,Actividades de servicios de comidas y bebidas,No cotiza
7631040-1-5,Monteria,Cordoba,F,Hijo,23,Secundaria,920000,48,2,Otra vivienda,12,9700,97,Empleado domestico,NA,No,Si,12,20,No,Mototaxi,Ahorro,Solo,No,No,144.48325552,Actividades de los hogares individuales como empleadores de personal doméstico,No cotiza
7639845-1-3,Cali,Valle,F,Hijo,31,Universitaria,1500000,25,1,Local fijo u oficina,12,7020,70,Obrero,2,No,Si,12,45,No,SITP,Ayuda familiar,31 - 50,Si,Si,1196.3098904,Actividades de administración empresarial; actividades de consultoría de gestión,Colpensiones
7628788-1-1,Pereira,Risaralda,M,Jefe,71,Primaria,800000,40,2,En esta vivienda,12,9523,95,Autonomo,NA,No,No,540,NA,No,No se desplaza,Ayuda familiar,Solo,No,No,156.876448,Reparación de calzado y artículos de cuero,No cotiza
7649699-1-2,Cali,Valle,F,Pareja,39,Secundaria,1200000,42,2,Local fijo u oficina,12,5619,56,Obrero,NA,Si,No,36,30,No,SITP,Ayuda familiar,201 o mas,Si,Si,1180.0015493,Actividades de servicios de comidas y bebidas,No cotiza
7627605-1-3,Bogota,Bogota,F,Hijo,28,Secundaria,1300000,48,1,En la calle,12,6120,61,Obrero,1,Si,Si,24,120,No,SITP,No lo ha considerado,201 o mas,Si,Si,3554.7776225,Telecomunicaciones,Fondo privado
